ID;createdAt;createdBy;firstname;lastname;email;phone;address1;address2;city;state;country;county;zipcode;salary;emprole_ID;
20466922-7d57-4e76-b14c-e53fd97dcb11;2024-01-04;SYSTEM;Bharadwaj;Kura;kurabj@mail.uc.edu;513-879-3720;3253 Morrison Ave;Apt 205;Cincinnati;OH;US;Hamilton;45220;110000;20466921-7d57-4e76-b14c-e53fd97dcb11;
20466922-7d57-4e76-b14c-e53fd97dcb12;2024-07-04;SYSTEM;Saiteja;Kilaru;kilarusa@mail.uc.edu;513-879-4456;3253 Morrison Ave;Apt 205;Cincinnati;OH;US;Hamilton;45220;120000;20466921-7d57-4e76-b14c-e53fd97dcb11;
20466922-7d57-4e76-b14c-e53fd97dcb13;2024-01-04;SYSTEM;Joe;Goldberg;goldjo@mail.uc.edu;513-879-4437;101 W Daniels;Apt 106;Cincinnati;OH;US;Hamilton;45221;120000;20466921-7d57-4e76-b14c-e53fd97dcb11;
20466922-7d57-4e76-b14c-e53fd97dcb14;2024-01-04;SYSTEM;Kate;Lockwood;lockte@mail.uc.edu;418-879-3729;45 W Daniels;Apt 315;Cincinnati;OH;US;Hamilton;45221;2110000;20466921-7d57-4e76-b14c-e53fd97dcb12;
20466922-7d57-4e76-b14c-e53fd97dcb15;2024-01-04;SYSTEM;Love;Quinn;quinnve@mail.uc.edu;712-879-6557;525 Lowell Ave;Apt 11;Cincinnati;OH;US;Hamilton;45220;110000;20466921-7d57-4e76-b14c-e53fd97dcb11;
20466922-7d57-4e76-b14c-e53fd97dcb16;2024-01-04;SYSTEM;Viraj;Patel;patelraj@mail.uc.edu;415-322-3432;717 Weschester Rd;Apt 1;Cincinnati;OH;US;Hamilton;45213;110000;20466921-7d57-4e76-b14c-e53fd97dcb11;
20466922-7d57-4e76-b14c-e53fd97dcb17;2024-01-04;SYSTEM;Atman;Patel;atmanpa@mail.uc.edu;415-322-3433;717 Weschester Rd;Apt 2;Cincinnati;OH;US;Hamilton;45213;110000;20466921-7d57-4e76-b14c-e53fd97dcb11;
20466922-7d57-4e76-b14c-e53fd97dcb18;2024-01-04;SYSTEM;Annamalai;Kuppuswamy;kuppuan@mail.uc.edu;213-343-9479;222 Indian Hill;;Cincinnati;OH;US;Hamilton;45222;110000;20466921-7d57-4e76-b14c-e53fd97dcb12;
20466922-7d57-4e76-b14c-e53fd97dcb19;2024-01-04;SYSTEM;Travis;Hardee;hardeev@mail.uc.edu;655-333-5678;3240 Whitfield Ave;Apt 221;Cincinnati;OH;US;Hamilton;45220;110000;20466921-7d57-4e76-b14c-e53fd97dcb11;
20466922-7d57-4e76-b14c-e53fd97dcb20;2024-01-04;SYSTEM;Alex;Smith;smithex@mail.uc.edu;215-980-3433;101 W Daniels;;Cincinnati;OH;US;Hamilton;45220;110000;20466921-7d57-4e76-b14c-e53fd97dcb11;
